family,genus,authors,scientific_name,species_number,kew_id,powo_uri
Lecythidaceae,Eschweilera,Mart. ex DC.,Eschweilera Mart. ex DC.,99,326987-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:326987-2
Lecythidaceae,Barringtonia,J.R.Forst. & G.Forst.,Barringtonia J.R.Forst. & G.Forst.,72,329914-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:329914-2
Lecythidaceae,Gustavia,L.,Gustavia L.,46,331637-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:331637-2
Lecythidaceae,Lecythis,Loefl.,Lecythis Loefl.,30,27598-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:27598-1
Lecythidaceae,Couratari,Aubl.,Couratari Aubl.,19,27498-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:27498-1
Lecythidaceae,Foetidia,Comm. ex Lam.,Foetidia Comm. ex Lam.,18,27546-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:27546-1
Lecythidaceae,Napoleonaea,P.Beauv.,Napoleonaea P.Beauv.,17,326493-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:326493-2
Lecythidaceae,Rhaptopetalum,Oliv.,Rhaptopetalum Oliv.,13,325982-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:325982-2
Lecythidaceae,Grias,L.,Grias L.,12,326794-2,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:326794-2
Lecythidaceae,Cariniana,Casar.,Cariniana Casar.,9,27473-1,http://www.plantsoftheworldonline.org/taxon/urn:lsid:ipni.org:names:27473-1
